code,trade_date,shares,price,shares_change,shares_change_pct,est_flow,signal
510050,20260423,2119656.68,3.086,0.0,0.0,0.0,none
510300,20260423,4111878.77,4.765,0.0,0.0,0.0,none
510500,20260423,853936.86,7.74,0.0,0.0,0.0,none
512100,20260423,685321.76,2.891,0.0,0.0,0.0,none
563300,20260423,256117.4,1.275,0.0,0.0,0.0,none
588000,20260423,4642466.82,1.955,0.0,0.0,0.0,none
510050,20260424,2080686.68,3.086,-38970.0,-1.84,-12.03,none
510300,20260424,4092258.77,4.765,-19620.0,-0.48,-9.35,none
510500,20260424,843536.86,7.74,-10400.0,-1.22,-8.05,none
512100,20260424,675521.76,2.891,-9800.0,-1.43,-2.83,none
563300,20260424,244867.4,1.275,-11250.0,-4.39,-1.43,none
588000,20260424,4575866.82,1.955,-66600.0,-1.43,-13.02,none
510050,20260427,2015526.68,3.086,-65160.0,-3.13,-20.11,none
510300,20260427,4036278.77,4.765,-55980.0,-1.37,-26.67,none
510500,20260427,819576.86,7.74,-23960.0,-2.84,-18.55,none
512100,20260427,601521.76,2.891,-74000.0,-10.95,-21.39,exit
563300,20260427,242117.4,1.275,-2750.0,-1.12,-0.35,none
588000,20260427,4478666.82,1.955,-97200.0,-2.12,-19.0,none
510050,20260428,1928226.68,3.086,-87300.0,-4.33,-26.94,none
510300,20260428,3986058.77,4.765,-50220.0,-1.24,-23.93,none
510500,20260428,781696.86,7.74,-37880.0,-4.62,-29.32,none
512100,20260428,553721.76,2.891,-47800.0,-7.95,-13.82,exit
563300,20260428,235867.4,1.275,-6250.0,-2.58,-0.8,none
588000,20260428,4467866.82,1.955,-10800.0,-0.24,-2.11,none
510050,20260429,1853076.68,3.086,-75150.0,-3.9,-23.19,none
510300,20260429,3937188.77,4.765,-48870.0,-1.23,-23.29,none
510500,20260429,804496.86,7.74,22800.0,2.92,17.65,none
512100,20260429,555921.76,2.891,2200.0,0.4,0.64,none
563300,20260429,266867.4,1.275,31000.0,13.14,3.95,entry
588000,20260429,4485866.82,1.955,18000.0,0.4,3.52,none
510050,20260430,1723476.68,3.086,-129600.0,-6.99,-39.99,exit
510300,20260430,3820458.77,4.765,-116730.0,-2.96,-55.62,none
510500,20260430,747656.86,7.74,-56840.0,-7.07,-43.99,exit
512100,20260430,432121.76,2.891,-123800.0,-22.27,-35.79,exit
563300,20260430,273117.4,1.275,6250.0,2.34,0.8,none
588000,20260430,4192766.82,1.955,-293100.0,-6.53,-57.3,exit
510050,20260506,1632756.68,3.086,0.0,0.0,0.0,none
510300,20260506,3793278.77,4.765,0.0,0.0,0.0,none
510500,20260506,756736.86,7.74,0.0,0.0,0.0,none
512100,20260506,474721.76,2.891,0.0,0.0,0.0,none
563300,20260506,280617.4,1.275,0.0,0.0,0.0,none
588000,20260506,4025666.82,1.955,0.0,0.0,0.0,none
510050,20260507,1536906.68,3.086,-95850.0,-5.87,-29.58,exit
510300,20260507,3615618.77,4.765,-177660.0,-4.68,-84.65,none
510500,20260507,681576.86,7.74,-75160.0,-9.93,-58.17,exit
512100,20260507,463121.76,2.891,-11600.0,-2.44,-3.35,none
563300,20260507,289617.4,1.275,9000.0,3.21,1.15,none
588000,20260507,3984266.82,1.955,-41400.0,-1.03,-8.09,none
510050,20260508,1409646.68,3.086,-127260.0,-8.28,-39.27,exit
510300,20260508,3526968.77,4.765,-88650.0,-2.45,-42.24,none
510500,20260508,601416.86,7.74,-80160.0,-11.76,-62.04,exit
512100,20260508,424121.76,2.891,-39000.0,-8.42,-11.27,exit
563300,20260508,298367.4,1.275,8750.0,3.02,1.12,none
588000,20260508,4002566.82,1.955,18300.0,0.46,3.58,none
510050,20260511,1296066.68,3.086,-113580.0,-8.06,-35.05,exit
510300,20260511,3394578.77,4.765,-132390.0,-3.75,-63.08,none
510500,20260511,557816.86,7.74,-43600.0,-7.25,-33.75,exit
512100,20260511,367521.76,2.891,-56600.0,-13.35,-16.36,exit
563300,20260511,294117.4,1.275,-4250.0,-1.42,-0.54,none
588000,20260511,3899066.82,1.955,-103500.0,-2.59,-20.23,none
510050,20260512,1242426.68,3.086,-53640.0,-4.14,-16.55,none
510300,20260512,3337158.77,4.765,-57420.0,-1.69,-27.36,none
510500,20260512,537296.86,7.74,-20520.0,-3.68,-15.88,none
512100,20260512,347521.76,2.891,-20000.0,-5.44,-5.78,exit
563300,20260512,273867.4,1.275,-20250.0,-6.89,-2.58,exit
588000,20260512,3847466.82,1.955,-51600.0,-1.32,-10.09,none
510050,20260513,1211556.68,3.086,-30870.0,-2.48,-9.53,none
510300,20260513,3272718.77,4.765,-64440.0,-1.93,-30.71,none
510500,20260513,529376.86,7.74,-7920.0,-1.47,-6.13,none
512100,20260513,359721.76,2.891,12200.0,3.51,3.53,none
563300,20260513,287867.4,1.275,14000.0,5.11,1.78,entry
588000,20260513,3820766.82,1.955,-26700.0,-0.69,-5.22,none
510050,20260514,1171686.68,3.086,-39870.0,-3.29,-12.3,none
510300,20260514,3209178.77,4.765,-63540.0,-1.94,-30.28,none
510500,20260514,503096.86,7.74,-26280.0,-4.96,-20.34,none
512100,20260514,332321.76,2.891,-27400.0,-7.62,-7.92,exit
563300,20260514,272117.4,1.275,-15750.0,-5.47,-2.01,exit
588000,20260514,3783866.82,1.955,-36900.0,-0.97,-7.21,none
510050,20260515,1190946.68,3.086,19260.0,1.64,5.94,none
510300,20260515,3216288.77,4.765,7110.0,0.22,3.39,none
510500,20260515,523536.86,7.74,20440.0,4.06,15.82,none
512100,20260515,346321.76,2.891,14000.0,4.21,4.05,none
563300,20260515,275367.4,1.275,3250.0,1.19,0.41,none
588000,20260515,3725966.82,1.955,-57900.0,-1.53,-11.32,none
510050,20260518,1223436.68,3.086,32490.0,2.73,10.03,none
510300,20260518,3218268.77,4.765,1980.0,0.06,0.94,none
510500,20260518,512816.86,7.74,-10720.0,-2.05,-8.3,none
512100,20260518,337521.76,2.891,-8800.0,-2.54,-2.54,none
563300,20260518,263117.4,1.275,-12250.0,-4.45,-1.56,none
588000,20260518,3629066.82,1.955,-96900.0,-2.6,-18.94,none
510050,20260519,1101486.68,3.086,-121950.0,-9.97,-37.63,exit
510300,20260519,3166248.77,4.765,-52020.0,-1.62,-24.79,none
510500,20260519,471296.86,7.74,-41520.0,-8.1,-32.14,exit
512100,20260519,337521.76,2.891,0.0,0.0,0.0,none
563300,20260519,276117.4,1.275,13000.0,4.94,1.66,none
588000,20260519,3588866.82,1.955,-40200.0,-1.11,-7.86,none
510050,20260520,1005186.68,3.086,-96300.0,-8.74,-29.72,exit
510300,20260520,3102708.77,4.765,-63540.0,-2.01,-30.28,none
510500,20260520,439496.86,7.74,-31800.0,-6.75,-24.61,exit
512100,20260520,304121.76,2.891,-33400.0,-9.9,-9.66,exit
563300,20260520,269867.4,1.275,-6250.0,-2.26,-0.8,none
588000,20260520,3514466.82,1.955,-74400.0,-2.07,-14.55,none
510050,20260521,979626.68,3.086,-25560.0,-2.54,-7.89,none
510300,20260521,3049428.77,4.765,-53280.0,-1.72,-25.39,none
510500,20260521,450536.86,7.74,11040.0,2.51,8.54,none
512100,20260521,341521.76,2.891,37400.0,12.3,10.81,entry
563300,20260521,273117.4,1.275,3250.0,1.2,0.41,none
588000,20260521,3489866.82,1.955,-24600.0,-0.7,-4.81,none
510050,20260522,959106.68,3.086,-20520.0,-2.09,-6.33,none
510300,20260522,2979588.77,4.765,-69840.0,-2.29,-33.28,none
510500,20260522,478216.86,7.74,27680.0,6.14,21.42,entry
512100,20260522,352321.76,2.891,10800.0,3.16,3.12,none
563300,20260522,284367.4,1.275,11250.0,4.12,1.43,none
588000,20260522,3449066.82,1.955,-40800.0,-1.17,-7.98,none
510050,20260525,857946.68,3.086,-101160.0,-10.55,-31.22,exit
510300,20260525,2845848.77,4.765,-133740.0,-4.49,-63.73,none
510500,20260525,435816.86,7.74,-42400.0,-8.87,-32.82,exit
512100,20260525,300921.76,2.891,-51400.0,-14.59,-14.86,exit
563300,20260525,288867.4,1.275,4500.0,1.58,0.57,none
588000,20260525,3323066.82,1.955,-126000.0,-3.65,-24.63,none
